	docid	citation
45	AN-OCCURRENCE-OF-SAPPHIRINE-IN-THE-ARCHEAN.html	Sandrine Cadéron, Walter E. Trzcienski, Jean H. Bédard, Normand Goulet; AN OCCURRENCE OF SAPPHIRINE IN THE ARCHEAN SUPERIOR PROVINCE, NORTHERN QUEBEC. The Canadian Mineralogist 2005;; 43 (1): 463–478. doi: https://doi.org/10.2113/gscanmin.43.1.463
46	AN-UNUSUAL-ASSOCIATION-OF-HYDROTHERMAL-PLATINUM.html	Andrei Y. Barkov, Michael E. Fleet; AN UNUSUAL ASSOCIATION OF HYDROTHERMAL PLATINUM-GROUP MINERALS FROM THE IMANDRA LAYERED COMPLEX, KOLA PENINSULA, NORTHWESTERN RUSSIA. The Canadian Mineralogist 2004;; 42 (2): 455–467. doi: https://doi.org/10.2113/gscanmin.42.2.455
47	AN-X-RAY-AND-NEUTRON-DIFFRACTION-STUDY-OF.html	Juraj Majzlan, Boris Kiefer; AN X-RAY- AND NEUTRON-DIFFRACTION STUDY OF SYNTHETIC FERRICOPIAPITE, Fe14/3(SO4)6(OD,OH)2(D2O,H2O)20, AND AB INITIO CALCULATIONS ON THE STRUCTURE OF MAGNESIOCOPIAPITE, MgFe4(SO4)6(OH)2(H2O)20. The Canadian Mineralogist 2006;; 44 (5): 1227–1237. doi: https://doi.org/10.2113/gscanmin.44.5.1227
48	ANALYSIS-OF-EVAPORATE-MOUNDS-AS-A-COMPLEMENT-TO.html	Daniel J. Kontak; ANALYSIS OF EVAPORATE MOUNDS AS A COMPLEMENT TO FLUID-INCLUSION THERMOMETRIC DATA: CASE STUDIES FROM GRANITIC ENVIRONMENTS IN NOVA SCOTIA AND PERU. The Canadian Mineralogist 2004;; 42 (5): 1315–1329. doi: https://doi.org/10.2113/gscanmin.42.5.1315
49	ANDRADITE-UVAROVITE-SOLID-SOLUTION-FROM.html	Biswajit Ghosh, Tomoaki Morishita; ANDRADITE–UVAROVITE SOLID SOLUTION FROM HYDROTHERMALLY ALTERED PODIFORM CHROMITITE, RUTLAND OPHIOLITE, ANDAMAN, INDIA. The Canadian Mineralogist 2011;; 49 (2): 573–580. doi: https://doi.org/10.3749/canmin.49.2.573
50	ANOMALOUSLY-HIGH-D-VALUES-IN-AN-ARCHEAN.html	William Edward Stone, Etienne Deloule, Stephen W. Beresford, Marco Fiorentini; ANOMALOUSLY HIGH δD VALUES IN AN ARCHEAN FERROPICRITIC MELT: IMPLICATIONS FOR MAGMA DEGASSING. The Canadian Mineralogist 2005;; 43 (5): 1745–1758. doi: https://doi.org/10.2113/gscanmin.43.5.1745
51	APATITE-TEXTURES-AND-COMPOSITIONS-AS-RECORDS-OF.html	Mona-Liza C. Sirbescu, Mark A. Leatherman, James J. Student, Alison R. Beehr; APATITE TEXTURES AND COMPOSITIONS AS RECORDS OF CRYSTALLIZATION PROCESSES IN THE ANIMIKIE RED ACE PEGMATITE DIKE, WISCONSIN, USA. The Canadian Mineralogist 2009;; 47 (4): 725–743. doi: https://doi.org/10.3749/canmin.47.4.725
52	ARISITE-Ce-A-NEW-RARE-EARTH-FLUORCARBONATE-FROM.html	Paula C. Piilonen, Andrew M. McDonald, Joel D. Grice, Ralph Rowe, Robert A. Gault, Glenn Poirier, Mark A. Cooper, Uwe Kolitsch, Andrew C. Roberts, William Lechner, Andreas G. Palfi; ARISITE-(Ce), A NEW RARE-EARTH FLUORCARBONATE FROM THE ARIS PHONOLITE, NAMIBIA, MONT SAINT-HILAIRE AND THE SAINT-AMABLE SILL, QUEBEC, CANADA. The Canadian Mineralogist 2010;; 48 (3): 661–671. doi: https://doi.org/10.3749/canmin.48.3.661
53	ARSENIC-INCORPORATION-IN-COLEMANITE-FROM-BORATE.html	Jinru Lin, Yuanming Pan, Ning Chen, Mao Mao, Rong Li, Renfei Feng; ARSENIC INCORPORATION IN COLEMANITE FROM BORATE DEPOSITS: DATA FROM ICP–MS, μ-SXRF, XAFS AND EPR ANALYSES. The Canadian Mineralogist 2011;; 49 (3): 809–822. doi: https://doi.org/10.3749/canmin.49.3.809
54	ARSENIC-MINERALOGY-OF-NEAR-SURFACE-TAILINGS-AND.html	Stephen R. Walker, Michael B. Parsons, Heather E. Jamieson, Antonio Lanzirotti; ARSENIC MINERALOGY OF NEAR-SURFACE TAILINGS AND SOILS: INFLUENCES ON ARSENIC MOBILITY AND BIOACCESSIBILITY IN THE NOVA SCOTIA GOLD MINING DISTRICTS. The Canadian Mineralogist 2009;; 47 (3): 533–556. doi: https://doi.org/10.3749/canmin.47.3.533
