	docid	citation
58	e99-055.html	S B Lucas, E C Syme, and K E Ashton. 1999. New perspectives on the Flin Flon Belt, Trans-Hudson Orogen, Manitoba and Saskatchewan: an introduction to the special issue on the NATMAP Shield Margin Project, Part 1. Canadian Journal of Earth Sciences.36(2): 135-140. https://doi.org/10.1139/e99-055
59	e03-079.html	Sadrack Félix Toteu, Joseph Penaye, and Yvette Poudjom Djomani. 2004. Geodynamic evolution of the Pan-African belt in central Africa with special reference to Cameroon. Canadian Journal of Earth Sciences.41(1): 73-85. https://doi.org/10.1139/e03-079
60	cjes-2015-0094.html	Zhuoheng Chen and Peter Hannigan. 2016. A shale gas resource potential assessment of Devonian Horn River strata using a well-performance method. Canadian Journal of Earth Sciences.53(2): 156-167. https://doi.org/10.1139/cjes-2015-0094
61	e11-067.html	MazzoliStefano, SzaniawskiRafal, MittigaFrancesco, AscioneAlessandra, and CapalboAndrea. 2012. Tectonic evolution of Pliocene–Pleistocene wedge-top basins of the southern Apennines: new constraints from magnetic fabric analysis. Canadian Journal of Earth Sciences.49(3): 492-509. https://doi.org/10.1139/e11-067
62	cjes-2017-0016.html	Heather L. Crow, James A. Hunter, Laura C. Olson, André J.-M. Pugin, and Hazen A.J. Russell. 2018. Borehole geophysical log signatures and stratigraphic assessment in a glacial basin, southern Ontario. Canadian Journal of Earth Sciences.55(7): 829-845. https://doi.org/10.1139/cjes-2017-0016
63	e01-065.html	Philip J Currie and Dong Zhiming. 2001. New information on Cretaceous troodontids (Dinosauria, Theropoda) from the People's Republic of China. Canadian Journal of Earth Sciences.38(12): 1753-1766. https://doi.org/10.1139/e01-065
64	E10-061.html	JulianaSterliJ. Sterli, JohannesMüllerJ. Müller, JérémyAnquetinJ. Anquetin, and AndréHilgerA. Hilger. 2010. The parabasisphenoid complex in Mesozoic turtles and the evolution of the testudinate basicranium. Canadian Journal of Earth Sciences.47(10): 1337-1346. https://doi.org/10.1139/E10-061
65	cjes-2013-0151.html	JonesAlan G., LedoJuanjo, FergusonIan J., CravenJames A., UnsworthMartyn J., ChouteauMichel, and SprattJessica E.. 2014. The electrical resistivity of Canada’s lithosphere and correlation with other parameters: contributions from Lithoprobe and other programmes. Canadian Journal of Earth Sciences.51(6): 573-617. https://doi.org/10.1139/cjes-2013-0151
66	e98-080.html	Valentina Baranova, Azer Mustaqeem, and Sebastian Bell. 1999. A model for induced seismicity caused by hydrocarbon production in the Western Canada Sedimentary Basin. Canadian Journal of Earth Sciences.36(1): 47-64. https://doi.org/10.1139/e98-080
67	cjes-2020-0020.html	William A. Nesbitt and Alfonso Mucci. 2021. Direct evidence of sediment carbonate dissolution in response to bottom-water acidification in the Gulf of St. Lawrence, Canada. Canadian Journal of Earth Sciences.58(1): 84-92. https://doi.org/10.1139/cjes-2020-0020
68	e03-082.html	John H England, Nigel Atkinson, Arthur S Dyke, David JA Evans, and Marek Zreda. 2004. Late Wisconsinan buildup and wastage of the Innuitian Ice Sheet across southern Ellesmere Island, Nunavut. Canadian Journal of Earth Sciences.41(1): 39-61. https://doi.org/10.1139/e03-082
69	cjes-2016-0187.html	B.H. Luckman, M.H. Masiokas, and K. Nicolussi. 2017. Neoglacial history of Robson Glacier, British Columbia. Canadian Journal of Earth Sciences.54(11): 1153-1164. https://doi.org/10.1139/cjes-2016-0187
70	e92-189.html	A. Mark Tushingham. 1992. Observations of postglacial uplift at Churchill, Manitoba. Canadian Journal of Earth Sciences.29(11): 2418-2425. https://doi.org/10.1139/e92-189
71	e01-019.html	Lambertus C Struik and Donald G MacIntyre. 2001. Introduction to the special issue of Canadian Journal of Earth Sciences: The Nechako NATMAP Project of the central Canadian Cordillera. Canadian Journal of Earth Sciences.38(4): 485-494. https://doi.org/10.1139/e01-019
72	e90-142.html	J. M. Ryder, M. J. Bovis, and M. Church. 1990. Rock avalanches at Texas Creek, British Columbia. Canadian Journal of Earth Sciences.27(10): 1316-1329. https://doi.org/10.1139/e90-142
73	cjes-2017-0052.html	Nabil A. Shawwa, Robert P. Raeside, David W.A. McMullin, and Christopher R.M. McFarlane. 2017. Employing contact metamorphism to assess the conditions of pluton emplacement and timing of recrystallization in southwestern Kellys Mountain, Cape Breton Island, Nova Scotia. Canadian Journal of Earth Sciences.54(11): 1165-1178. https://doi.org/10.1139/cjes-2017-0052
74	e93-114.html	Alain Piqué, Ahmed El Hassani, and Christian Hoepffner. 1993. Les déformations ordoviciennes dans la zone des Sehoul (Maroc septentrional) : une orogenèse calédonienne en Afrique du Nord. Canadian Journal of Earth Sciences.30(7): 1332-1337. https://doi.org/10.1139/e93-114
75	e05-094.html	Robert Gilbert and Joseph R Desloges. 2005. The record of Glacial Lake Champagne in Kusawa Lake, southwestern Yukon Territory. Canadian Journal of Earth Sciences.42(12): 2127-2140. https://doi.org/10.1139/e05-094
76	e80-175.html	Jon M. DeLaurier, E. R. Niblett, F. Plet, and P. A. Camfield. 1980. Geomagnetic depth sounding over the central Arctic Islands, Canada. Canadian Journal of Earth Sciences.17(12): 1642-1652. https://doi.org/10.1139/e80-175
77	E09-048.html	JörgMaletzJ. Maletz. 2009. Holmograptus spinosus and the Middle Ordovician (Darriwilian) graptolite biostratigraphy at Les M&#xe9;chins (Quebec, Canada). Canadian Journal of Earth Sciences.46(10): 739-755. https://doi.org/10.1139/E09-048
78	e03-050.html	Sandy Bonny and Brian Jones. 2003. Relict tufa at Miette Hot Springs, Jasper National Park, Alberta, Canada. Canadian Journal of Earth Sciences.40(11): 1459-1481. https://doi.org/10.1139/e03-050
79	e80-132.html	P. F. Karrow. 1980. The Nipissing transgression around southern Lake Huron. Canadian Journal of Earth Sciences.17(9): 1271-1274. https://doi.org/10.1139/e80-132
80	e01-029.html	Nicholas Culshaw and Pradeep Bhatnagar. 2001. The interplay of regional structure and emplacement mechanisms at the contact of the South Mountain Batholith, Nova Scotia: floor-down or wall-up?. Canadian Journal of Earth Sciences.38(9): 1285-1299. https://doi.org/10.1139/e01-029
81	e00-018.html	C RM McFarlane and D RM Pattison. 2000. Geology of the Matthew Creek metamorphic zone, southeast British Columbia: a window into Middle Proterozoic metamorphism in the Purcell Basin. Canadian Journal of Earth Sciences.37(7): 1073-1092. https://doi.org/10.1139/e00-018
82	e96-023.html	M. M. Savard. 1996. Pre-ore burial dolomitization adjacent to the carbonate-hosted Gays River Zn–Pb deposit, Nova Scotia. Canadian Journal of Earth Sciences.33(2): 303-315. https://doi.org/10.1139/e96-023
83	e83-126.html	Philippe Erdmer and Herwart Helmstaedt. 1983. Eclogite from central Yukon: a record of subduction at the western margin of ancient North America. Canadian Journal of Earth Sciences.20(9): 1389-1408. https://doi.org/10.1139/e83-126
84	e04-085.html	John R Laughton, Derek J Thorkelson, Marc-André Brideau, Julie A Hunt, and Daniel D Marshall. 2005. Early Proterozoic orogeny and exhumation of Wernecke Supergroup revealed by vent facies of Wernecke Breccia, Yukon, Canada. Canadian Journal of Earth Sciences.42(6): 1033-1044. https://doi.org/10.1139/e04-085
85	cjes-2018-0172.html	Ann M. Hirt and Andrea R. Biedermann. 2019. Preferred orientation of ferromagnetic phases in rock-forming minerals: insights from magnetic anisotropy of single crystals. Canadian Journal of Earth Sciences.56(9): 994-1001. https://doi.org/10.1139/cjes-2018-0172
86	e05-087.html	Daniel Germain, Louise Filion, and Bernard Hétu. 2005. Snow avalanche activity after fire and logging disturbances, northern Gaspé Peninsula, Quebec, Canada. Canadian Journal of Earth Sciences.42(12): 2103-2116. https://doi.org/10.1139/e05-087
87	e11-012.html	MurphyJ. Brendan, HamiltonMichael A., and LeBlancBryan. 2012. Tectonic significance of Late Ordovician silicic magmatism, Avalon terrane, northern Antigonish Highlands, Nova Scotia . Canadian Journal of Earth Sciences.49(1): 346-358. https://doi.org/10.1139/e11-012
88	e96-028.html	J. Brendan Murphy, J. Duncan Keppie, Mary Pat Cude, Jarda Dostal, and John W. F. Waldron. 1996. Geochemical and isotopic characteristics of Early Silurian clastic sequences in Antigonish Highlands, Nova Scotia, Canada: constraints on the accretion of Avalonia in the Appalachian – Caledonlde Orogen. Canadian Journal of Earth Sciences.33(3): 379-388. https://doi.org/10.1139/e96-028
89	e04-106.html	Frederick A Cook and Philippe Erdmer. 2005. An 1800&#x2002;km cross section of the lithosphere through the northwestern North American plate: lessons from 4.0 billion years of Earth's history. Canadian Journal of Earth Sciences.42(6): 1295-1311. https://doi.org/10.1139/e04-106
90	e05-040.html	T A Grammatikopoulos, A H Clark, T H Pearce, and D A Archibald. 2005. Genesis of the Olden wollastonite skarn, Sharbot Lake domain, Central Metasedimentary Belt, Grenville Province, southeastern Ontario, Canada. Canadian Journal of Earth Sciences.42(8): 1401-1417. https://doi.org/10.1139/e05-040
91	cjes-2013-0115.html	BurkeKevin and CannonJ. Matthew. 2014. Plume–plate interaction. Canadian Journal of Earth Sciences.51(3): 208-221. https://doi.org/10.1139/cjes-2013-0115
92	e93-160.html	Glenn W. Berger and Don J. Easterbrook. 1993. Thermoluminescence dating tests for lacustrine, glaciomarine, and floodplain sediments from western Washington and British Columbia. Canadian Journal of Earth Sciences.30(9): 1815-1828. https://doi.org/10.1139/e93-160
93	e00-059.html	T K Gangopadhyay and S Bardhan. 2000. Dimorphism and a new record of Barroisiceras De Grossouvre (Ammonoidea) from the Coniacian of Bagh, central India. Canadian Journal of Earth Sciences.37(10): 1377-1387. https://doi.org/10.1139/e00-059
